epoch,loss,val_loss
0,232.011267811,193.606740065
1,189.877201816,187.050949408
2,185.631651466,181.759669604
3,181.920950625,179.309728331
4,181.968567555,178.208353035
5,182.639651677,183.104513174
6,180.623357955,181.23294755
7,178.077448206,176.895677836
8,176.385206622,175.241454366
9,176.176137855,177.140513183
10,174.868457326,172.062550427
11,174.21227461,176.82243225
12,172.9603584,171.919379564
13,172.567230213,172.375178257
14,171.748166014,170.707493165
15,171.569652808,170.261574433
16,171.761805518,171.949004359
17,170.818736378,170.017223265
